UID,Input to test,Input to Entity Uder Test,Output,Message Under test,Test Name,Description,Entity under test,Requirement,Requirement Source,Profile,Reference OAuch,Reference OpenID Connect Conformance Profiles v3.0,Note,Comments
OP-Authentication response-metadata-value,Authentication response to a request with prompt parameter set to consent login,Authentication request with prompt parameter set to consent login,"Compliant if the OP shows a login page to the client, not compliant otherwise",Authentication response,Does the OP correctly handle the prompt parameter set to 'consent login' in the case of a new request,"In the case of the prompt parameter set to 'consent login' in an authentication request, the OP should send an authentication request to the user in any case. In order to verify this behavior, a fresh authentication request is accomplished and the action of the OP verified.",OP,In case of a prompt parameter set to consent login in an authentication request: The OP forces an authentication request to the user. Then it asks permission to transfer the claims.,SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,,,JWT Response (correct check-yes) but must build custom control of output (login page),
OP-Token response-metadata-value,The Access Token present in the Token Response is analyzed and the value of the 'client_id' parameter in the Payload must identify the client issuing the request,Trigger The Access Token present in the Token Response is analyzed and the value of the 'client_id' parameter in the Payload must identify the client issuing the request,"Compliant if the JWT Access Token Payload contains the client_id parameter and its value identifies the RP, not Compliant otherwise",Token response,Does the issued JWT Access Token contain the 'client_id' parameter in the Payload and identify the client,The Access Token present in the Token Response is analyzed and the value of the 'client_id' parameter in the Payload must identify the client issuing the request,OP,The JWT Access Token Payload requires the client_id parameter. It MUST contain an HTTPS URL that uniquely identifies the RP.,SPID_CIE_OIDC#Token-Endpoint-Access-Token; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/token_endpoint.html#access-token,OIDC Core,,,,
OP-Authentication response-metadata-value,Authentication response to a request with prompt parameter set to consent login and SSO session active,Authentication request with prompt parameter set to consent login and SSO session active,"Compliant if the OP shows a login page to the client, not compliant otherwise",Authentication response,Does the OP correctly handles the prompt parameter set to 'consent login' in the case of SSO,"In the case of the prompt parameter set to 'consent login' in an authentication request, the OP should send an authentication request to the user in any case. In order to verify this behavior, an authentication request while a SSO session is active is accomplished and the action of the OP verified. It should show a login page and ask for the credentials.",OP,In case of a prompt parameter set to consent login in an authentication request: The OP forces an authentication request to the user. Then it asks permission to transfer the claims.,SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,,,,
OP-Authentication response-metadata-value,Authentication response to a request with prompt parameter set to consent,Authentication request with prompt parameter set to consent,"Compliant if the OP shows a login page to the client, not compliant otherwise",Authentication response,Does the OP correctly handle the prompt parameter set to 'consent' in the case of a new request,"In the case of the prompt parameter set to 'consent login' in an authentication request, the OP should send an authentication request to the user in any case. In order to verify this behavior, an authentication request while a SSO session is active is accomplished and the action of the OP verified. It should show a login page and ask for the credentials.",OP,"In case of a prompt parameter set to consent in an authentication request, if a Single Sign On session is not yet active, the OP makes an Authentication Request to the user. Then it asks permission to transfer the claims.",SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,,,JWT Response (correct check-yes) but must build custom control of output (login page),
OP-Authentication response-metadata-value,Authentication response to a request with prompt parameter set to consent and SSO session active,Authentication request with prompt parameter set to consent and SSO session active,"Compliant if the OP directly allows the authentication request, not compliant otherwise",Authentication response,Does the OP correctly handles the prompt parameter set to 'consent' in the case of SSO,"In the case of the prompt parameter set to consent in an authentication request, the OP has to verify if a SSO session is active and, in this case, it should consent the request. In order to verify this behavior, an authentication request with the prompt parameter set to consent while such a session is active is accomplished and the action of the OP verified. It should not show a login page, automatically authenticating the user.",OP,"In case of a prompt parameter set to consent in an authentication request, if a Single Sign On session is not yet active, the OP makes an Authentication Request to the user. Then it asks permission to transfer the claims.",SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,,,,
OP-Authentication response-metadata-value,"In order to check if the OP correctly handles a successful authentication request, a correct request is sent by a client and the behavior of the OP is analyzed. In particular, the client must be redirected to its redirect_uri and the redirect must have 'iss' as query parameter set to the OP's identifier","Trigger In order to check if the OP correctly handles a successful authentication request, a correct request is sent by a client and the behavior of the OP is analyzed. In particular, the client must be redirected to its redirect_uri and the redirect must have 'iss' as query parameter set to the OP's identifier","Compliant if the OP redirects the client to the redirect_uri with the iss parameter set to the correct OP's identifier, not compliant otherwise",Authentication response,Does the OP contain iss set to the its identifier on redirect in a successful authentication,"In order to check if the OP correctly handles a successful authentication request, a correct request is sent by a client and the behavior of the OP is analyzed. In particular, the client must be redirected to its redirect_uri and the redirect must have 'iss' as query parameter set to the OP's identifier",OP,If the authentication is successful the OpenID Provider (OP) redirects the user by adding iss parameter required as query parameters to the redirect_uri,SPID_CIE_OIDC#Authorization-Endpoint-Response; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#response,OIDC Core,,,,
OP-Authentication response-metadata-value,"In order to check if the OP correctly handles a successful authentication request, a correct request is sent by a client and the behavior of the OP is analyzed. In particular, the client must be redirected to its redirect_uri and the redirect must have 'state' as query parameter. This parameter must have the same value of the 'state' parameter sent in the payload of the request parameter in the Authentication request","Trigger In order to check if the OP correctly handles a successful authentication request, a correct request is sent by a client and the behavior of the OP is analyzed. In particular, the client must be redirected to its redirect_uri and the redirect must have 'state' as query parameter. This parameter must have the same value of the 'state' parameter sent in the payload of the request parameter in the Authentication request","Compliant if the OP redirects the client to the redirect_uri and the value of the state parameter in the query parameters corresponds to the state parameter sent in the request, not compliant otherwise",Authentication response,Does the OP contain correct state parameter on redirect in a successful authentication,"In order to check if the OP correctly handles a successful authentication request, a correct request is sent by a client and the behavior of the OP is analyzed. In particular, the client must be redirected to its redirect_uri and the redirect must have 'state' as query parameter. This parameter must have the same value of the 'state' parameter sent in the payload of the request parameter in the Authentication request",OP,If the authentication is successful the OpenID Provider (OP) redirects the user by adding state parameter required as query parameters to the redirect_uri,SPID_CIE_OIDC#Authorization-Endpoint-Response; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#response,OIDC Core,Is the state parameter present in the authorization response (StatePresent),OAuth state request value returned in response,,
OP-Authentication response-metadata-value,"In order to check if the OP correctly handles a successful authentication request, a correct request is sent by a client and the behavior of the OP is analyzed. In particular, the client must be redirected to its redirect_uri.","Trigger In order to check if the OP correctly handles a successful authentication request, a correct request is sent by a client and the behavior of the OP is analyzed. In particular, the client must be redirected to its redirect_uri.","Compliant if the OP redirects the client to the redirect_uri, not compliant otherwise",Authentication response,Does the OP correctly redirects the client,"In order to check if the OP correctly handles a successful authentication request, a correct request is sent by a client and the behavior of the OP is analyzed. In particular, the client must be redirected to its redirect_uri.",OP,If the authentication is successful the OpenID Provider (OP) redirects the user to the redirect_uri,SPID_CIE_OIDC#Authorization-Endpoint-Response; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#response,OIDC Core,Is at least one grant type supported (HasSupportedFlows),Can make request with code response_type,,
OP-Authentication response-metadata-value,Authentication Response to a request without the scope parameter in the URL,Authentication Request with the scope parameter in the URL that differs from the one in the JWT,"Compliant if the Authentication response is an HTTP 302 because of invalid_request, not compliant otherwise",Authentication response,Does the OP refuse Authentication Requests with the scope parameter different in the URL and in the JWT,The Authentication Request is intercepted and the iss parameter in the URL of the request (scope in the HTTP request) is modified to a valid value but different from the JWT's one. The same parameter in the JWT's payload is left unchanged,OP,"The parameter scope MUST be sent both as a parameter in the HTTP request, and inside the request object. The two values MUST be the same.",SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,,,,
OP-Authentication response-metadata-value,Authentication Response to a request without the code_challenge parameter,Authentication Request without the code_challenge parameter in the URL,"Compliant if the Authentication response is an HTTP 302 because of invalid_request, not compliant otherwise",Authentication response,Does the OP refuse Authentication Requests without the code_challenge parameter,"The 'code_challenge' parameter in an authentication request is part of the PKCE protocol and is useful against various attacks. In order to test if the OP checks this parameter, an authorization request is sent without the client_id in the JWT and the answer is analyzed",OP,The JWT payload must contain the code_challenge parameter,SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,Does the server require PKCE (IsPkceRequired),,,
OP-Authentication response-metadata-value,Authentication Response to a Request without the code_challenge and code_challenge_method parameter in the HTTP request,Authentication Request without the code_challenge and code_challenge_method parameter in the URL,"Compliant if the Authentication response is an HTTP 302 because of invalid_request, not compliant otherwise",Authentication response,Does the OP require PKCE,"An authentication request with empty code_challenge and code_challenge_method parameter is sent and the response analyzed. If the OP accepts the request, than plain PKCE is accepted and a protection against attacks like CSRF and authorization code injection attacks is missing",OP,The JWT payload must contain the code_challenge parameter. The JWT payload must contain the code_challenge_method parameter and its value must be in the code_challenge_methods_supported parameter of the OP's metadata,SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,"Does the server require PKCE (IsPkceRequired), Does the server support plain PKCE (PlainPkce)",,,
OP-Authentication response-metadata-value,Authentication Response to a request without the code_challenge_method parameter,Authentication Request without the code_challenge_method parameter in the URL,"Compliant if the Authentication response is an HTTP 302 because of invalid_request, not compliant otherwise",Authentication response,Does the OP refuse Authentication Requests without the code_challenge_method parameter,"The 'code_challenge_method' parameter in an authentication request says to the OP how to verify the code_challenge when receiving the token request. If one request has a wrong code_challenge_method, than the OP will not be able to verify this parameter. In order to test the OP's behavior, an Authenticaton request is sent without code_challenge_method and the answer is analyzed",OP,The JWT payload must contain the code_challenge_method parameter and its value must be in the code_challenge_methods_supported parameter of the OP's metadata,SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,Is PKCE implemented (IsPkceImplemented),,,
OP-Authentication response-metadata-value,Authentication Response to a request without the request parameter,Authentication Request without the request parameter in the URL,"Compliant if the Authentication response is an HTTP 302 because of invalid_request, not compliant otherwise",Authentication response,Does the OP refuse Authentication Requests without the request parameter,"The 'request' parameter in an authentication request is crucial to authenticate and answer correctly. If a request is missing the request parameter, than the OP should refuse it. In order to test the OP's behavior, an Authenticaton request is sent without request parameter in the URL and the answer is analyzed",OP,The JWT payload must contain the request parameter and its value must a JWT,SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,,,,
OP-Authentication response-metadata-value,Authentication Response to a request with the request parameter that is not a JWT,Authentication Request with a request parameter in the URL that is not a JWT,"Compliant if the Authentication response is an HTTP 302 because of invalid_request, not compliant otherwise",Authentication response,Does the OP refuse Authentication Requests with the request parameter that is not a JWT,"The 'request' parameter in an authentication request is crucial to authenticate and answer correctly. If a request has a request parameter, that is not a JWT, it means that the OP should refuse it. In order to test the OP's behavior, an Authenticaton request is sent with a random value in the request parameter in the URL and the answer is analyzed",OP,The JWT payload must contain the request parameter and its value must a JWT,SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,,,,
OP-Entity Configuration response-metadata-value,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the metadata parameter is analyzed. This must be a JSON object with each key representing a type of metadata. These types cannot be repeated and must be a value among the following: 'openid_relying_party', 'openid_provider', 'federation_entity', 'oauth_authorization_server', 'oauth_resource', 'trust_mark_issuer'","Trigger To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the metadata parameter is analyzed. This must be a JSON object with each key representing a type of metadata. These types cannot be repeated and must be a value among the following: 'openid_relying_party', 'openid_provider', 'federation_entity', 'oauth_authorization_server', 'oauth_resource', 'trust_mark_issuer'","Compliant if each key in metadata is present only once and is a value between 'openid_relying_party', 'openid_provider', 'federation_entity', 'oauth_authorization_server', 'oauth_resource', 'trust_mark_issuer', not compliant otherwise",Entity Configuration response,Does the metadata parameter contain only allowed types and only once for each,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the metadata parameter is analyzed. This must be a JSON object with each key representing a type of metadata. These types cannot be repeated and must be a value among the following: 'openid_relying_party', 'openid_provider', 'federation_entity', 'oauth_authorization_server', 'oauth_resource', 'trust_mark_issuer'",OP,"Allowed metadata types are: 'openid_relying_party', 'openid_provider', 'federation_entity', 'oauth_authorization_server', 'oauth_resource', 'trust_mark_issuer'",SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,,,,
OP-Entity Configuration response-metadata-value,"In order to verify if the OP validates the trust chain, the signature of the trust marks in the RP's Entity Configuration must be wrong. If the OP validates the request anyway, than it is not checking the Trust Mark signature and it is not compliant with the specifications",Entity Configuration response containing a trust mark with wrong signature,"Compliant if the OP responds with an HTTP 302 error and because of unauthorized_client, not compliant otherwise",Entity Configuration response,Does the OP validate the signature of the RP Trust Marks,"In order to verify if the OP validates the trust chain, the signature of the trust marks in the RP's Entity Configuration must be wrong. If the OP validates the request anyway, than it is not checking the Trust Mark signature and it is not compliant with the specifications",OP,The OP obtains the Entity Configuration of the RP and validates the signatures of Trust Mark that are recognized inside the Federation,SPID_CIE_OIDC#Metadata-Retrieval-OP; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/trust_negotiation.html#openid-provider,OIDC Federation,,,Signature JWT Response (correct check-no) but the JWT is nested,
OP-Authentication response-metadata-value,Authentication Response to a request with a request parameter signed with a symmetric algorithm,Authentication Request with a request parameter signed with a symmetric algorithm,"Compliant if the Authentication response is an HTTP 302 because of unauthorized_client, not compliant otherwise",Authentication response,Does the OP refuse Authentication Requests signed with a non-asymmetric method,"This test aims to check if the OP correctly handles the signature of the Authentication request: If the OP is not able to decrypt the signature, than the public key of the RP is wrong or, otherwise, the algorithm used is not known. If, instead, the OP is able to decrypt the signature, it can mean that the public key is correct and the algorithm known, or that the RP used a symmetric algorithm and the RP's key is the same key used to sign the JWT. In the latter case the confidentiality and integrity of the message cannot be trusted. In this case, the OP must check the 'alg' parameter in the JWT Header and, if it corresponds to a symmetric algorithm or to 'none', it must refuse the authentication request. In order to accomplish this test, a crafted RP could set in its metadata a symmetric key, use it to sign the JWT and send an Authentication Request. Another way to accomplish the test is by intercepting the request, changing the parameter and the signature.",OP,"The JWT Header of the request parameter in the Authentication Request must contain the 'alg' parameter, it must be set to one of the supported values for the OP metadata and must not be 'none' or a symmetric algorithm (MAC).",SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,,,Check the error response code in MIG,
OP-Authentication response-metadata-value,Authentication Response to a request without the acr_values parameter,Authentication Request without the acr_values parameter in the JWT,"Compliant if the Authentication response is an HTTP 302 because of invalid_request, not compliant otherwise",Authentication response,Does the OP refuse Authentication Requests without the acr_values parameter,An Authentication Request is sent without the acr_values parameter in JWT and the response analyzed.,OP,The JWT payload must contain the acr_values parameter and its value must be contained in the acr_values_supported parameter of the OP's metadata,SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,,,,
OP-Authentication response-metadata-value,Authentication Response to a request with wrong acr_values parameter,Authentication Request with wrong acr_values parameter in the JWT,"Compliant if the Authentication response is an HTTP 302 because of invalid_request, not compliant otherwise",Authentication response,Does the OP refuse Authentication Requests with a value of the acr_values parameter wrong or not present in its metadata,In this test an authorization request is sent with a acr_values parameter wrongly set in the JWT and the response is analyzed,OP,The JWT payload must contain the acr_values parameter and its value must be contained in the acr_values_supported parameter of the OP's metadata,SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,,,,
OP-Introspection response-metadata-value,Introspection Request with an expired token,Introspection Request with an expired token,"Compliant if the Introspection Response's body is a JSON Object with only an 'active' parameter set to false, not compliant otherwise",Introspection response,Does the Introspection Endpoint returns false on expired tokens,"To test that the Introspection response of the OP's correctly identifies expired tokens, an expired one is sent and the response is analyzed",OP,"If the token is expired, it has been revoked or it has never been issued for the calling client_id, the Introspection Endpoint must return false. Otherwise it returns true",SPID_CIE_OIDC#Introspection-Endpoint-Response; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/introspection_endpoint.html#response,OIDC Core,,,,
OP-Introspection response-metadata-value,Introspection response to a request with a token issued for another client,Introspection Request with a token that does not belong to the RP making the request,"Compliant if the Introspection Response is a JSON Object with only an 'active' parameter set to false, not compliant otherwise",Introspection response,Does the Introspection Endpoint returns false on tokens that do not belong to the RP,"To test that the Introspection response of the OP's correctly identifies tokens that do not belong to the RP making the request, a token issued for another RP is sent by a different RP and the response is analyzed",OP,"If the token is expired, it has been revoked or it has never been issued for the calling client_id, the Introspection Endpoint must return false. Otherwise it returns true",SPID_CIE_OIDC#Introspection-Endpoint-Response; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/introspection_endpoint.html#response,OIDC Core,,,,
OP-Revocation request-metadata-value,The revocation request must be sent via HTTP POST,Trigger Revocation Request,"Compliant if the Revocation request is in HTTP POST, not compliant otherwise",Revocation request,Does the OP verify the HTTP method of the Revocation request,The revocation request must be sent via HTTP POST,OP,The OP must test the HTTP method in the revocation request,SPID_CIE_OIDC#Revocation-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/revocation_endpoint.html#request,OIDC Core,,,,
OP-Token response-metadata-value,Token response,"Trigger The Access Token present in the Token response is analyzed and the presence of the 'typ' parameter in the header is checked. Moreover, its value must be set to 'at+jwt', if it is not, than the Access Token is not compliant","Compliant if the Access Token Header has the typ parameter and it is set to 'at+jwt', not Compliant otherwise",Token response,Does the issued JWT Access Token contain the 'typ' parameter valid in the Header,"The Access Token present in the Token response is analyzed and the presence of the 'typ' parameter in the header is checked. Moreover, its value must be set to 'at+jwt', if it is not, than the Access Token is not compliant",OP,The JWT Access Token Header requires the typ parameter and it must be set to 'at+jwt',SPID_CIE_OIDC#Token-Endpoint-Access-Token; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/token_endpoint.html#access-token,OIDC Core,,,Not present in the description but present in the example,
OP-Token response-metadata-value,The Access Token present in the Token Response is analyzed and the presence of the 'iss' parameter equals to the URL of the OP in the Payload is checked,Trigger The Access Token present in the Token Response is analyzed and the presence of the 'iss' parameter equals to the URL of the OP in the Payload is checked,"Compliant if the JWT Access Token Payload has the iss parameter equals to the URL of the OP, not Compliant otherwise",Token response,Does the issued JWT Access Token contain the 'iss' parameter in the Payload equals to the URL of the OP,The Access Token present in the Token Response is analyzed and the presence of the 'iss' parameter equals to the URL of the OP in the Payload is checked,OP,The JWT Access Token Payload requires the iss parameter equals to the URL of the OP,SPID_CIE_OIDC#Token-Endpoint-Access-Token; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/token_endpoint.html#access-token,OIDC Core,,,,
