V2.3,UID,Old Input tester,Input to test,Input to Entity Under Test,Output,Pattern name,Type,Message Under Test,Test Name,Description,Entity under test,Input for generated MR: message to handle,Input for generated MR: Oracle,Requirement,Requirement Source,Profile,Cases,Related to,Type MIG,Severity,Reasons  for chosen Severity,Reference OAuch,Reference OpenID Connect Conformance Profiles v3.0,Reference spid-cie-oidc-django unit test,Reference Test MIG for CIE Core Web,Reference IPZS Test plan document,Reference spid-oidc-check-op,Note,Has Reference,Checked,Divider,Implementation dependent,Session in spid-oidc-cie-django,"Stato del test [E= Eseguito, N= Non eseguito, ND= Non definito, ToDo= Da Eseguire]",Motivazione,Spid-cie-oidc-django result,"Versione Django Feb,21 2024 - 87467470e7c491e91d0e6bb95ada85ec6f71ca77",Test,Django v2.2
x,ALL-Entity Configuration response-BODY-PAYLOAD-sub-type,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the sub parameter is a String, not compliant otherwise",JWT parameter type,Correct Input,Entity Configuration response,Does entity configuration contain the correct sub parameter type,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the presence of the sub parameter is checked. It must be a Number.",ALL,,"Entity Configuration response | body | [^\r\n]* | payload |  | {""type"": ""object"", ""properties"": {""sub"": {""type"": ""string""}}, ""required"": [""sub""]}",The iss parameter is required in the Entity Configuration of all the entities,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,"FED, IT",ALL-Entity Configuration response-BODY-PAYLOAD-sub-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-sub-specific_type,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the sub parameter is a HTTPS URL, not compliant otherwise",JWT parameter type,Correct Input,Entity Configuration response,Does entity configuration contain the correct sub parameter type,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the presence of the sub parameter is checked. It must be a Number.",ALL,,"Entity Configuration response | body | [^\r\n]* | payload |  | {""type"": ""object"", ""properties"": {""sub"": {""type"": ""string"", ""format"": ""uri"", ""pattern"": ""^https://""}}, ""required"": [""sub""]}",The iss parameter is required in the Entity Configuration of all the entities,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,IT,ALL-Entity Configuration response-BODY-PAYLOAD-sub-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-sub-value,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the sub parameter is equal to the iss claim, not compliant otherwise",JWT parameter values,Correct Input,Entity Configuration response,Does entity configuration OP contain a correct sub parameter,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the sub parameter is checked. Its value must be equal to the one in the iss parameter",ALL,,Entity Configuration response | body | [^\r\n]* | payload | sub | X_url_ALL,The sub parameter is required in the Entity Configuration of all the entities,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,"FED, IT",ALL-Entity Configuration response-BODY-PAYLOAD-sub-presence,Passive,M,Mismatch of content,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-iat-presence,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the iat parameter is present, not compliant otherwise",JWT parameter presence,Correct Input,Entity Configuration response,Does entity configuration contain the iat parameter,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the presence of the iat parameter is checked",ALL,,Entity Configuration response | body | [^\r\n]* | payload | iat,The iat parameter is required in the Entity Configuration of all the entities,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,"FED, IT",ALL-Entity Configuration response-HEAD-federation_metadata-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-iat-type,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the iat parameter is timestamp, not compliant otherwise",JWT parameter type,Correct Input,Entity Configuration response,Does entity configuration contain a correct iat parameter,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the presence of the iat parameter is checked",ALL,,"Entity Configuration response | body | [^\r\n]* | payload |  | {""type"": ""object"", ""properties"": {""iat"": {""type"": ""integer"", ""minimum"": 0}}, ""required"": [""iat""]}",The iat parameter is required in the Entity Configuration of all the entities,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,"FED, IT",ALL-Entity Configuration response-BODY-PAYLOAD-iat-presence,Passive,L,Type mismatch,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-exp-presence,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the exp parameter is present, not compliant otherwise",JWT parameter presence,Correct Input,Entity Configuration response,Does entity configuration contain the exp parameter,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the presence of the exp parameter is checked",ALL,,Entity Configuration response | body | [^\r\n]* | payload | exp,The exp parameter is required in the Entity Configuration of all the entities,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,"FED, IT",ALL-Entity Configuration response-HEAD-federation_metadata-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-exp-type,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the exp parameter is a Number (UNIX Timsetamp), not compliant otherwise",JWT parameter type,Correct Input,Entity Configuration response,Does entity configuration contain a correct exp parameter,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the presence of the exp parameter is checked",ALL,,"Entity Configuration response | body | [^\r\n]* | payload |  | {""type"": ""object"", ""properties"": {""exp"": {""type"": ""integer"", ""minimum"": 0}}, ""required"": [""exp""]}",The exp parameter is required in the Entity Configuration of all the entities,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,"FED, IT",ALL-Entity Configuration response-BODY-PAYLOAD-exp-presence,Passive,L,Type mismatch,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-jwks-presence,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the jwks parameter is present, not compliant otherwise",JWT parameter presence,Correct Input,Entity Configuration response,Does entity configuration contain the jwks parameter,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the presence of the jwks parameter is checked",ALL,,Entity Configuration response | body | [^\r\n]* | payload | jwks,The jwks parameter is required in the Entity Configuration of all the entities,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,"FED, IT",ALL-Entity Configuration response-HEAD-federation_metadata-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-jwks-type,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the jwks parameter is JSON Object that contains keys, which is a JSON Array, which contains at least kty, which is a string, not compliant otherwise",JWT parameter type,Correct Input,Entity Configuration response,Does entity configuration contain the correct jwks parameter type,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the presence of the jwks parameter is checked. It must be JSON Object that contains keys, which is a JSON Array, which contains at least kty, which is a string",ALL,,"Entity Configuration response | body | [^\r\n]* | payload | jwks | {""type"":""object"",""properties"":{""keys"":{""type"":""array"",""properties"":{""kty"":{""type"":""string""}},""required"":[""kty""]}},""required"":[""keys""]}",The jwks parameter is required in the Entity Configuration of all the entities,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,"FED, IT",ALL-Entity Configuration response-HEAD-federation_metadata-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-jwks-specific_type,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the jwks parameter contains KID, not compliant otherwise",JWT parameter type,Correct Input,Entity Configuration response,Does entity configuration contain the correct jwks parameter type for IT,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the presence of the jwks parameter is checked. It must contain at least KID.",ALL,,"Entity Configuration response | body | [^\r\n]* | payload | jwks | {""type"":""object"",""properties"":{""keys"":{""type"":""array"",""properties"":{""kty"":{""type"":""string""}, ""kid"":{""type"":""string""}},""required"":[""kty"", ""kid""]}},""required"":[""keys""]}",The jwks parameter is required in the Entity Configuration of all the entities,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,IT,ALL-Entity Configuration response-BODY-PAYLOAD-jwks-type,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-metadata-presence,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the metadata parameter is present, not compliant otherwise",JWT parameter presence,Correct Input,Entity Configuration response,Does entity configuration contain the metadata parameter,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the presence of the metadata parameter is checked",ALL,,Entity Configuration response | body | [^\r\n]* | payload | metadata,The metadata parameter is required in the Entity Configuration of all the entities,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,IT,ALL-Entity Configuration response-HEAD-federation_metadata-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-metadata-type,Entity's Entity Configuration's metadata,Entity Configuration response,Trigger Entity Configuration response,"Compliant if 'metadata' parameter is a JSON Object, not compliant otherwise",JWT parameter type,Correct Input,Entity Configuration response,Does the metadata parameter contain a JSON Object,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the metadata parameter is analyzed. This must be a JSON object.",ALL,,"Entity Configuration response | body | [^\r\n]* | payload |  | {""type"": ""object"", ""properties"": {""metadata"": {""type"": ""object""}}, ""required"": [""metadata""]}","Allowed metadata types are: 'openid_relying_party', 'openid_provider', 'federation_entity', 'oauth_authorization_server', 'oauth_resource', 'trust_mark_issuer'",SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,"Conditional FED, IT",ALL-Entity Configuration response-BODY-PAYLOAD-metadata-presence,Passive,L,Type mismatch,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-metadata-value,Entity's Entity Configuration's metadata,Entity Configuration response,Trigger Entity Configuration response,"Compliant if each key in metadata is a value between 'openid_relying_party', 'openid_provider', 'federation_entity', 'oauth_authorization_server', 'oauth_resource', not compliant otherwise",JWT parameter type,Correct Input,Entity Configuration response,Does the metadata parameter contain only allowed types,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the metadata parameter is analyzed. This must be a JSON object with each key representing a type of metadata. These types must be a value among the following: 'openid_relying_party', 'openid_provider', 'federation_entity', 'oauth_authorization_server', 'oauth_resource'",ALL,,"Entity Configuration response | body | [^\n\r]* | payload | .metadata | {""type"": ""object"",""anyOf"": [{""required"": [""openid_relying_party""]},{""required"": [""openid_provider""]},{""required"": [""federation_entity""]},{""required"": [""oauth_authorization_server""]},{""required"": [""oauth_resource""]}],""properties"": {""openid_relying_party"":{""type"":""object""},""openid_provider"":{""type"":""object""},""federation_entity"":{""type"":""object""},""oauth_authorization_server"":{""type"":""object""},""oauth_resource"":{""type"":""object""}}, ""additionalProperties"": false}","Allowed metadata types are: 'openid_relying_party', 'openid_provider', 'federation_entity', 'oauth_authorization_server', 'oauth_resource'",SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,IT,ALL-Entity Configuration response-BODY-PAYLOAD-metadata-presence,Passive,M,Presence of wrong parameter,,,,,,,,FALSE,,,yes,s1,E,,,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-authority_hints-presence,OP's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the authority_hints parameter is present, not compliant otherwise",JWT parameter presence,Correct Input,Entity Configuration response,Does the OP's entity configuration contain the authority_hints parameter,"To accomplish this test, the Entity configuration of the OP is taken, the payload is decoded (Base64 encoding) and the presence of the authority_hints parameter is checked",ALL,,Entity Configuration response | body | [^\r\n]* | payload | authority_hints,Leaf and intermediate entities' Entity Configuration must have the 'authority_hints' and 'trust_marks' parameters,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-foglia-e-intermediari,OIDC Federation,"FED, IT",ALL-Entity Configuration response-HEAD-federation_metadata-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-authority_hints-type,OP's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the authority_hints parameter is present and is an JSON Array of URLs, not compliant otherwise",JWT parameter type,Correct Input,Entity Configuration response,Does the OP's entity configuration contain a correct authority_hints parameter,"To accomplish this test, the Entity configuration of the OP is taken, the payload is decoded (Base64 encoding) and the authority_hints parameter is checked, it must be an array",ALL,,"Entity Configuration response | body | [^\r\n]* | payload |  | {""type"": ""object"", ""properties"": {""authority_hints"": {""type"": ""array"", ""items"":{""type"":""string""}}}, ""required"": [""authority_hints""]}",Leaf and intermediate entities' Entity Configuration must have the 'authority_hints' and 'trust_marks' parameters,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-foglia-e-intermediari,OIDC Federation,"FED, IT",ALL-Entity Configuration response-BODY-PAYLOAD-authority_hints-presence,Passive,L,Type mismatch,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-authority_hints-specific_type,OP's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the authority_hints parameter is present and is an JSON Array of URLs, not compliant otherwise",JWT parameter type,Correct Input,Entity Configuration response,Does the OP's entity configuration contain a correct authority_hints parameter,"To accomplish this test, the Entity configuration of the OP is taken, the payload is decoded (Base64 encoding) and the authority_hints parameter is checked, it must be an array",ALL,,"Entity Configuration response | body | [^\r\n]* | payload |  | {""type"": ""object"", ""properties"": {""authority_hints"": {""type"": ""array"", ""items"":{""type"":""uri""}}}, ""required"": [""authority_hints""]}",Leaf and intermediate entities' Entity Configuration must have the 'authority_hints' and 'trust_marks' parameters,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-foglia-e-intermediari,OIDC Federation,IT,ALL-Entity Configuration response-BODY-PAYLOAD-authority_hints-type,Passive,L,Type mismatch,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-trust_marks-presence,AA's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the trust_marks parameter is present, not compliant otherwise",JWT parameter presence,Correct Input,Entity Configuration response,Does the entity configuration contain the trust_marks parameter,"To accomplish this test, the Entity configuration is taken, the payload is decoded (Base64 encoding) and the presence of the trust_marks parameter is checked.",ALL,,Entity Configuration response | body | [^\r\n]* | payload | trust_marks,Leaf and intermediate entities' Entity Configuration must have the 'authority_hints' and 'trust_marks' parameters,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-foglia-e-intermediari,OIDC Federation,IT,ALL-Entity Configuration response-HEAD-federation_metadata-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,Messaggio non presente,N_A,AA non presente,not_applicable,
